,Review,Class
88,Many times media files and massages are not send timely.it takes too long to send. Please fix this problem as soon as possible.,1
89,Good,1
90,Just bad,1
91,This app is not working. There is no people who message me😔,1
92,Flirting,1
93,It says Messenger can't install,1
94,Messages taking forever to go through and video call isn't working at all.,1
95,3w,1
96,Nice 👍,1
97,Murshidul Sk,1
98,Log in my messenger Aurora Hormillo.Activate now. Maria.Aura Hormillo.Update now. messenger.Now.Activate..Update to log in my messenger now.open login my messengerMaria.aura Hormillo.open now.update.,1
99,The pop out feature keeps causing my touch screen not to recognize my touches cause it's not optimized lmao what come on be fr rn,1
100,Good,1
101,It's really a nice app,1
102,Afrija,1
103,Good,1
104,Very good app I have get many beautiful friends here,1
105,good,1
106,After this update my messenger stopped working. Forget working i couldn't login.,1
107,Md tancir Hasan,1
108,Nice,1
109,Best application ever truth be told,1
110,Terrible recently,1
111,VISHAL90059737,1
112,nice,1
113,বগহয়শজচগবশ,1
114,Hi my beloved son's of God,1
115,It' is good,1
116,Good,1
117,"Billion dollar site yet can't even maintain a messenger app, it's not sending Voice Messages or Pictures when you originally send em",1
118,This is the best messenger app in the whole world I am going to keep it on my cellphone,1
119,Hi you,1
120,Nice,1
121,It's very good,1
122,Awesome,1
123,Great app but my notifications sounds hidden,1
124,I can't reply to messages on Messenger,1
125,Good 👍,1
126,BRING CHAT HEAD BACK,1
127,gara medyo malag,1
128,Good,1
129,So much update disturb us,1
130,Di,1
131,Too many bugs,1
132,Can't even send messages from group and private. I already updated my messenger but still it didnt work. KINDLYYYYYY FIX THE BUGS I HAVEN'T DO ANYTHING BUT THEY ALWAYS KEEP ME RESTRICTED FOR NO REASON LIKE REALLY ??... KINDLY FIX THE MESSNGER!!!!,1
133,The performance is bad,1
134,I love it,1
135,"When I was texting some of my friends my messages won't send, I completely had strong wifi and I wait for about 20 minutes, my messages didn't send yet and when I deleted the app and download it back it won't let me log in to my acc it will just stay in a loading screen even though my internet is strong.",1
136,PLEASE make an option to turn those DAMN reactions popups off. It would be a good app if not for those totally and completely useless and totally annoying pop-ups CONSTANTLY popping up over and over and over while trying to read through messages and NO WAY to turn them OFF!!!,1
137,Easy for comp.uter illerates,1
138,aduuaur,1
139,Good,1
140,Good jobs apps,1
141,Nice,1
142,জুবায়ের 52 56,1
143,Good,1
144,Bobo nyo,1
145,Having a lot of trouble sending pictures lately,1
146,ভালো থাকবেন,1
147,Good,1
148,Not worth a big turd,1
149,Di masyado makasend pic,1
150,Awesome app,1
151,Nice and useful,1
152,Student,1
153,nice,1
154,This is very helpful app,1
155,Ok,1
156,Pain app☹️,1
157,It's good,1
158,Please allow chathead shortcut to screen/homepage because its useful for when we need contact same person frequently. Like enabled in old android versions like 5.0,1
159,Good,1
160,so so,1
161,Osm category 2 awesome see everything message amazing so nice fast messaging,1
162,Good,1
163,It should be done better. Errors are too much. Not at all comfortable.,1
164,Beautiful app,1
165,Bekar hai yeie ne khyd use kia hai ye aap,1
166,It's So helpful ❤️🥺😭,1
167,excellent the app,1
168,Skill,1
169,Good,1
170,Gusto kung old version ng messenger,1
171,Amazing app,1
172,Ok,1
173,good,1
174,Every time I get sent a video or clip. I can't see it with messenger. Too many glitches. Also this app collects your personal information and sells it,1
175,Ganda ko,1
176,Very nice,1
177,Ok,1
178,Nice,1
179,very excellent,1
180,Shei,1
181,Love it can talk to people you haven't talked to in years,1
182,Bagus sinyal,1
183,Agree,1
184,Help fully,1
185,Good service,1
186,wala lang gusto ko lng bigyan nang 5star,1
187,😋❤️,1
188,perfect,1
189,Could not send my text,1
190,very good sever,1
191,In android Messenger is compelitly different from Apple version and it is very bad. I wish android had exact features and will be fine,1
192,"PAKIBALIK NAMAN NG IGNORE MESSAGE, NONSENSE UNG RESTRICT ACCOUNT E 😑😑",1
193,"If I could give ZERO stars, I would. DONT DOWNLOAD THIS POS APP. Not even getting notifications anymore. When calls come in, you have to literally go into the app to answer...went from the best messaging app to the worst.",1
194,Good,1
195,Wla lang,1
196,"I Have year Round Allergies. I HAVE to take Allergyg Meds.Had All Test years ago.Went throught yrs of Injections. NOW have to begin again.Alergies are Bad with Pollen ,Again with Rain ,Dust,Mold Trees.",1
197,a ok many thanx,1
198,"ABSOLUTELY BUGGY, DESTROYS RELATIONSHIPS",1
199,"Please bring back ChatHeads! I use this app basically on a daily basis, the only problem is, there are so many issues with Bubbles. I prefer ChatHeads over Bubbles, it was much easier and efficient, you could search someone within the option of ChatHeads, with Bubbles, you can't do the same and it reduces the space you have and I sometimes click out and have to open it again witch is annoying. I have to keep uninstalling and reinstalling in order to have ChatHeads temporary. Please bring it back",1
200,Bad,1
201,Bat bawal ma recover Yung deleted messages and chats mo ha pano kung accidentally tapos importante😤😤😤 1 star ka sakin hmp,1
202,Good and awesome,1
203,There's no community chat.,1
204,very good,1
205,Good,1
206,good,1
207,Wala ra gud,1
208,Good,1
209,Brilliant,1
210,nice,1
211,Nice,1
212,Good app,1
213,I'd a great game for me,1
214,"Us older people have enough problems on technical device's without you updating, give us a break....👀👀",1
215,This product is considered as a breakthrough apps I think,1
216,good app,1
217,Fix it! It worked and now all of a sudden I can't video chat.,1
218,so very nice see more updates messenger and meta facebook,1
219,Good,1
220,Its good,1
221,This app so useful,1
222,Goog,1
223,so many bugs occuring lately it surely interrupts conversations the new update is also confusing before you could see which voice message you replied to now its just confusing it's also very hard to read back on conversations and the search in conversation doesn't even give proper results chat backgrounds are also very bright,1
224,Good,1
225,Ra rakib,1
226,Good,1
227,Sheshhh,1
228,"I'ts nice, No logs and others",1
229,This app is helpful because I got 6 girlfriend in one night...,1
230,"There is so much bug with this app. I get message notification from 18h , even tho I already looked at it. The bubble option is a big no because it doesn't even work half of the time",1
231,I use it to see who talking to,1
232,P.O.S app. Said it needed update. Tried 12 times Uninstaller and reinstalled. GARBAGE AND...has to be updated again and again,1
233,Hacked account access hacked hacked hacked,1
234,It good for us,1
235,Very convenient apps,1
236,I love you messenger,1
237,Messenger app,1
238,Nice app,1
239,Good.,1
240,Bug... Everytime try to open marketplace chat it will loading,1
241,Oki,1
242,Okay,1
243,Good,1
244,basta 1star pisti ka,1
245,Wra gyapon ka chat Kya 1 star lng ahhahahhaa,1
246,MIC DON'T WORK,1
247,it didn't show the real time that she/he seen my messages,1
248,হাই,1
249,"This makes my life ,😀thank u so much messenger 😘😘",1
250,90th 9,1
251,Ok,1
252,Goob,1
253,Very important to me this app,1
254,Nice app,1
255,Ok,1
256,A road trip with my messenger at now Siamese go give it a 3-star,1
257,I cant download it..what im going to do?,1
258,Nice app,1
259,good,1
260,রনাসররকার,1
261,App not closing or minimizing. Cant exit.,1
262,Good app,1
263,"I like this app , I can chat and call my friends and families 👍",1
264,❤️❤️❤️❤️❤️❤️,1
265,PLEASE UPDATE NEW THEME ON MESSENGER. HELLO KITTY.,1
266,I have been restricted so many times and the app claims I have been sending offensive messages even when I have confirmed with others that I haven't sent anything inappropriate. I have reported this issue twice and I still have not been given any help. Please remedy this issue because messenger is the main mode of communication for our school and it has become difficult to talk to my teachers and classmates.,1
267,Good,1
268,mid,1
269,Nice,1
270,Good,1
271,"No funciona correctamente, las burbujas quedan abiertas, no cierran e impide que pueda usar mi dispositivo movil, tampoco me deja desinstalar la app.",1
272,It's very nice and useful,1
273,Nice app,1
274,Well,1
275,RkIB,1
276,Its better if they didn't update..,1
277,ာန,1
278,Tap on a clip to paste it in the text box.,1
279,Vxx,1
280,Happy,1
281,Super,1
282,Lovely 😍♡,1
283,Great,1
284,Not good.,1
285,Good,1
286,How problem this messenger??why cannot install this app my phone,1
287,Why Missed calls are disappeared !,1
288,Very nice,1
289,Iam so happy from messnger,1
290,Good app,1
291,Best app,1
292,Nice,1
293,good,1
294,Very slow,1
295,"PLEASE DON'T REMOVE THE BUBBLE TEA, BLOOM AND EASTER THEMESS PLEASE 😭 THEY ARE SO CUTE. ALSO THE VALENTINE'S THEME.",1
296,I HOPE MESSENGER WILL HAVE AN UPDATE ABOUT TRASH BIN OF MESSAGES. SO THAT YOU CAN UNDO IT WHEN YOU ACCIDENTALLY DELETED YOUR CONVERSATION OR YOU CAN DECIDE IF YOU WANT TO DELETE IT PERMANENTLY.,1
297,Great,1
298,Excellent,1
299,What happen messager I can't sent my messageto my family and friends,1
300,5 star 🙂💝,1
301,Bsst ha ya app,1
302,Good,1
303,sometimes loading,1
304,Amazing,1
305,T*nga,1
306,Useful,1
307,Nnn,1
308,Nice,1
309,Good,1
310,Locked out and Banned 😡 I don't know why I'm getting banned. If somebody is Spam reporting me. I have trouble logging into my account. Even when I try to log in to get into my quest 2. And I've gotten notifications that people are trying to get into my Facebook account. What the f. I just want to talk to my boyfriend But I can't because I'm locked out. How are you supposed to log in when you're locked out For stupid reasons,1
311,it’s a good app,1
312,ok par,1
313,"This app is good in like 2019, but this day messenger sucks now, you can't even readback properly and the videos won't load, even in the voice chat/video chat when your playing music it don't even show what you want to search, it's not bad it's not just optimize, not like the other apps I've seen so far.",1
314,Perfect,1
315,Super,1
316,Love Messenger...,1
317,I don't know what to think haven't been able to play the game because keeps on crashing/freezing up,1
318,good,1
319,I can't log in my massenger. It’s always shows service is not available. It’s really boring.,1
320,Don't always give notification of messages,1
321,Bug,1
322,it's working so good,1
323,This app keeps stopping Everytime I enter it... please fix it,1
324,Ccc,1
325,My message can't be sent even my internet is signal is stable,1
326,Good,1
327,❤️❤️🥀,1
328,Ever since the update it won't send pictures. I have full 5g signal and no trouble sending pics on any other form of messaging and it will take all day and then send them hours later. Last night it sent them at 4 am. I never had a problem before the update,1
329,I don't get what i want,1
330,Pls Improve the messenger video viewing system whenever I am watching many videos sequencially it is coming back to the first one,1
331,wow,1
332,Verry good,1
333,Did not work..,1
334,Good,1
335,How will i experience the latest update version of messenger here in my oppo a83,1
336,story option not showing,1
337,,1
338,Goodservice,1
339,Such a good message app,1
340,"I constantly don't get notifications, and half the time I send a message through the notification panel it doesn't go through until the next time I open the app....",1
341,best,1
342,I always get blocked and videos are buggy 😵😵,1
343,Awesome,1
344,Pls help,1
345,I can't install or download it  why,1
346,Not good coz I can't open,1
347,Not working properly,1
348,Bal di dowenlod hoy na,1
349,lag and unable to unsent for everyone.,1
350,"I find it hard to open some hd pictures. I have to close the app first, so that i can open it. I find it a hassle.",1
351,The best,1
352,Back the photo background 😤😤😤,1
353,bbbbbbbbbᕙ⁠ ⁠(⁠°⁠ ⁠~⁠ ⁠°⁠ ⁠~⁠)bbbbbbbbbbbhbbnnnnmmmmmmmbr।वी।ha w v in सुउउवेबु ।wah ivsubhvcabiicbu ichbvu bh cv nns उर,1
354,So good I love it,1
355,Pass time,1
356,No notification for calls!,1
357,Super,1
358,It helps me but also why isn't it downloading in my phone,1
359,Good !,1
360,"It's not so bad . Download takes abit to much time , trying just for voice calls is a bummer lol also it costs to many mb for such services rendered . Although , appreciated",1
361,Hsjdhnffodhdnjddhhjsnsb3 the best way 9,1
362,ম্যাসেঞ্জার অ্যাপস টা আমার কাছে অনেক প্রিয় নতুন নতুন ফিল্টার দেবেন এগুলা অনেক ভালো লাগে সাজুগুজু লাগে না ফিল্টার দিয়েই কথা বলা যায় সবার সাথে❤️,1
363,"Naturally it would be 5 stars but after I experience some bugs yap I'm done can't even send pictures bug accounts where u delete it, it will comeback no matter how many times you delete it",1
364,Good,1
365,Its fun fast and interesting,1
366,"Frozen.. Forced stopped, unistalled, etc etc",1
367,..bb .,1
368,Good,1
369,Good,1
370,Really satisfied with messenger 😊,1
371,か なや わや …。、 やははなこは、 な らはまふゆふ,1
372,Good app and easy to use,1
373,Vlo,1
374,"No matter what you do, I'm never going back to meta. You are trash. Zuc is trash.",1
375,Perfect!,1
376,Good,1
377,Bad,1
378,Nc,1
379,It's so good to see the new friends,1
380,lokbu,1
381,Good,1
382,Excellent app,1
383,Nice,1
384,kahit wla aq kausap 5 star pa din,1
385,♥️,1
386,My massanger chat problem,1
387,Wonderful 😊,1
388,𝕋ℍ𝕀𝕊 𝕀𝕊 𝕊𝕆 𝔾𝕆𝕆𝔻 𝕆 𝕃𝕆𝕍𝔼 𝕀𝕋 𝟝✩,1
389,nice app 👍,1
390,"Notifications are sporadic, have been since end of 2022. Sometimes you only know you've got a message by going into the app. Well known about in the reviews here. Poor development. After 5 months you think this would be fixed.",1
391,Nice 👍,1
392,FF,1
393,Nice app,1
394,Good,1
395,Love it,1
396,An sksllslxksldkdkdjusbdncidokxikdljdmflflxbahdixdsindfkidddjfkfjffmdisndknx no absdkkdssodsdjcdkdbdkdjdodudoddend kids dmdhhdodvdmshdkdbdkdjs Noah hsc food food at least cos ns look sljsodhdsjsjksjdhdevesjf me lslj he can see how I'm Hbsdklsvsnbdkdkdjdjdkdlf fr we see do the seeds ksjdndmndndndjdndjslclcldlksjajsnbdmlsiuc up wiyxjfsmxkxcldkcjcljendlsjdkcicekdkdofdkojdkdkdjdkdkdbrjbshudskdhdkddjskjshdjssghxld other kdojdenslfkjsjdnicidikaswmsohdksjjdkdsljekAasnsnsjsjdkdjfd is kdkdododkdkdkdjdjdj,1
397,Best app,1
398,This app is very useful,1
399,Good results,1
400,this is a good app i like very much,1
401,Love this it's a good way to chat to those you don't get to often,1
402,The problem is that it's not connecting to the network even my internet is working good. Thats makes frustrating.,1
403,Above average,1
404,😊 😊👍👍👍 good app.,1
405,IAM interested 😌,1
406,Great apps,1
407,"A big problem in this app, not make group links for members when they join group.",1
408,Story not open 😞,1
409,Good,1
410,worst app,1
411,Horrible app. It flicker all the time and it's hard for you to reply to messages. I have not been able to reply to messages the past few days... and I'm NOT in Facebook jail. Smh my messenger is updated and my phone isn't damaged at all...only had this phone for 5 months so it's fairly new. But Mark Zuckerberg calls this app great. I beg to differ!,1
412,Asg,1
413,Soooo Goooood,1
414,boss app,1
415,💥❣️,1
416,This a very bad app beacuse of this app my gf break uped me,1
417,Ok,1
418,Delay,1
419,Very nice aap,1
420,"walang kwentang app, di man lang sya nag rereply",1
421,goog app,1
422,I want to see my message I like to know what happened to my account,1
423,Nice apps,1
424,Like good,1
425,success,1
426,Terrible service,1
427,Bakit di ma download,1
428,Nadeem Khan,1
429,Saowar apps,1
430,Mst labiba,1
431,gg,1
432,मनं,1
433,Not open Messenger,1
434,"Why would you fix what's not broke? Messenger was just fine before. Sure I like the little extras you were adding before. Little action emojis, little feature here and there. BUT NOW? What were you guys thinking?!?!  Everything is all screwed up now. Favorites? Who says? If they were my favorites then obviously they would already be at the top of the list of messages! No more video calling no matter of I'm on WiFi or Data. Says no WiFi and won't allow the call. Ummm, my choice to use Data or not! Not yours!",1
435,What a sexy app,1
436,Nyc,1
437,Good apps,1
438,It’s Agun💥 Very fine❤️💥,1
439,Helful,1
440,Help me,1
441,nice app,1
442,Worst app,1
443,Its work very slowly,1
444,Now a days It has given worst service.. Hang & hang 🙂,1
445,I don come back oo,1
446,As ron,1
447,From my experience it. Cool and ok,1
448,Ok,1
449,Poor apps,1
450,Good,1
451,Fda,1
452,good,1
453,NOT WORKING RIGHT THESE DAYS!,1
454,Very nice all good I will inform others about it,1
455,"It is a very good app, but slow in bringing messages",1
456,Good,1
457,Good apps,1
458,I love it,1
459,बहुत खूब बहुत अच्छा ऐप है,1
460,Upadate,1
461,Facebook messenger. It's what it is. They update it and it gets harder n harder to figure out for 95 year olds lol 😂,1
462,Thank you,1
463,Good Apps,1
464,Super duper app,1
465,It will shut off,1
466,Great,1
467,Good,1
468,"None of my sent photos is being delivered, everytime I reinstall it and then it works! Worst ever experience",1
469,"Very annoying bug: when using Facebook Messenger chat bubbles, when bubble is displayed on the screen, it makes the touch screen completely unresponsive, not until I remove the bubble. Kinda annoying.",1
470,I need my what's app and my messenger and you tube app on my phone,1
471,"fix the photos. cant send, messenger still needs to be reset to send the pictures",1
472,Gg,1
473,Great communications.,1
474,Very bad app girls always blocked me they never talk with me please update and Remove the blocked option please heart sad 🙏😭,1
475,Favorite,1
476,Messenger is the very nice chat thanks,1
477,Thankyou,1
478,so bad,1
479,Hindi ko mabuksan,1
480,Sometimes you can't chat it tells message failed to sent I been report it but nothing happens.,1
481,MMM,1
482,Very good,1
483,🤏🤏🤏,1
484,good,1
485,মগ৷ প৷ পও,1
486,Its nice but why can't i just delete messages on it just like WhatsApp?,1
487,Best app,1
488,"Perfect App for internet calls. It pools network and when it's stabled, it's doesn't break in connection.",1
489,Sakib Messenger No,1
490,Some messages don't go through,1
491,Zaheer pco263,1
492,Since the new update taken hours sometimes to spend or receive my messages.,1
493,এ মনু এ এ্যাপ মোর পোলাগো বেবি হইয়া গেছে,1
494,"I'm rsafargomakhoba my skills is to create design me doing music, dance ,modeling ,act",1
495,"Update,meta I think people are going to agree and believe me,I think it's about time y'all rolled out an update for messenger,it's issue are starting to act up worse,also not changing star ratings until things get better for this app",1
496,good,1
497,Munna,1
498,Good,1
499,Stupid app. Does not load very annoying.,1
500,Excellent service,1
501,Best now sham on you made in messenger,1
502,Wonderful,1
503,Goog,1
504,Good 👍,1
505,Perfect,1
506,"Too many hackers and my account just got hacked yesterday. I hope you will find a way to recover back my account,I will be so grateful for it ❤️",1
507,nince,1
508,"Video calls are so bad, we should be able to put stories on messenger",1
509,Its so convient,1
510,Good app,1
511,Kapag may nag vedio call saakin nag hahang na cp ko,1
512,Nice Cup tar,1
513,Cool,1
514,"It continually crashes, so it makes it impossible to type a message or even video call. It lags about 5 minute",1
515,Photo J,1
516,maganda,1
517,Shoyaeb,1
518,Wow,1
519,I want to sand message and we are taking each other what happened in my phone,1
520,Not bad,1
521,Akash,1
522,Olabode arotiba,1
523,Bilo,1
524,Ii,1
525,Wonderful 👍👍👍👍,1
526,Awe the chat bubbles don't work anymore :(((,1
527,Why can't open choose effect,1
528,Lalan Kumar,1
529,enjoy,1
530,Lfv6,1
531,apsara tamang,1
532,we cant send on messages private,1
533,After looking,1
534,Too much bugs,1
535,App a very nice,1
536,I can't find pinned messages,1
537,So amazing 😊👍✨,1
538,Nice app,1
539,Cant use,1
540,It's not working properly!,1
541,panget ng update nyo!,1
542,"Not too happy! I have had to uninstall, and reinstall, so many times, as there are countless to times, either photos or messages will NOT send! Please fix this problem, Facebook Messenger Meta!! I have reported it through Messenger. I would really appreciate this being addressed! Thanks in advance!",1
543,Valo,1
544,Wala kase akong ka chat,1
545,Soonafai,1
546,Update,1
547,Gooh,1
548,Gd,1
549,It's a good one,1
550,It's been good the messenger app works fine and is a good way to connect with others across the world,1
551,nice,1
552,Nice💕,1
553,Good performance,1
554,"Notifications do not work on Z fold 4, no idea I'm getting messages unless the page is open",1
555,Once everything started with you. Everything is over for you again.,1
556,boos bay casero,1
557,Why do you keep on changing on whether the view the stories or not?,1
558,bbye,1
559,Good app,1
560,"This app used to be excellent, but now- my irration and frustration ALWAYS comes from this app, first, you can't play any audio messages AT ALL, photos and videos sent by other people always appears transparent, as if it's not there at all.pop up messages ALSO doesn't appear, just a black screen",1
561,Very good pae,1
562,Recently its been going off telling me i have a new message but it's actually not. It notifying me about messages that are days old and ive already seen. Highly annoying. I am uninstalling,1
563,It allows too many people to eavesdrop on your information,1
564,Best experience,1
565,Nice on the move,1
566,যে বালের মেসেনজার একটা মেয়ে তো দূরে থাক একটা নটিফিকেশনও আসে না। মাঝে মাঝে মনে হয় এইটা কি ব্যবহার কি ফোন না কেলকুলেটর। আর ভাল্লাগে না।,1
567,Not working properly,1
568,Working so great,1
569,nice app,1
570,Hehe,1
571,ধন্যবাদ,1
572,"bring the ""remove contact"" settings back!!",1
573,Is good,1
574,That's awesome 👍,1
575,Very well,1
576,it's so good application,1
577,Sloww,1
578,Nice,1
579,it is. fun,1
580,Sex best for couples,1
581,Hh,1
582,"Gf phone kore sms, Notification ksu pai na valer app",1
583,alowly😌🤪,1
584,I Don't know,1
585,Very rare app,1
586,S22w3,1
587,Why do you always get rid of the best and most expressive emojis with every update? Otherwise this works fine but ya'll are making it boring as hell to use.,1
588,Much better...,1
589,Too good,1
590,Definitely very useful deserved 5 🌟,1
591,"same issue, no uploading stories for mydays",1
592,I am unable to play the games.... Whenever I start any games it crashes,1
593,I need it,1
594,It's perfect,1
595,Well Performance and best for massaging. But have some bad sides Like If i Uninstall massenger app and reinstall it Most of the emojis aren't available. They should repair this problem. Thanks.,1
596,good app,1
597,excellent connection,1
598,Nice,1
599,Very good app,1
600,I am sure that the only one of our customers with other apps,1
601,The new version of the app won't update. It downloads and verifies and it takes forever to verify.,1
602,My Messenger,1
603,I used to love this app But now I hate it . I don't like this bubble thing 😒,1
604,Kallu Kumar,1
605,ااا,1
606,Excellent,1
607,It's helpful to us,1
608,Massage sent problem,1
609,can't send a picture even if im using a stable wifi.,1
610,Nice,1
611,Nice,1
612,Siam. Rahman,1
613,Okay messenger,1
614,Bugs got worsen after update. Group chats not opening. Back reading old messages and nothing happens. App is freezing. I don't like the new update,1
615,👍,1
616,One of fantastic app for messaging in social network or media and also good for video chat and voice calls,1
617,Nice app,1
618,Didn't work properly,1
619,Beautiful,1
620,Nice,1
621,Easy to use yes,1
622,Goneshkom_kows,1
623,Very good,1
624,Very easy to use this app,1
625,Excellent,1
626,Good,1
627,Remove the bubble 💬 option. Its so useless,1
628,Fuke apps many problem this app,1
629,This app is very good,1
630,Uff naic,1
631,Ok,1
632,خیال ہم سفر مل جائے 😒😜,1
633,Good job,1
634,"Poor experience. Photos show up as ""Sent a photo."" meanwhile it shows up fine in a browser. Updates are constantly hiding things in obscure menus such as marketplace messagers. Also constantly opens 2 separate iterations of messenger and disables the ability to close the pop ups with the home button.",1
635,Good,1
636,The only reason I keep using this app is because I want to talk to my friends.,1
637,Sandy 580,1
638,Awesone,1
639,Very consumed storage this app,1
640,Good,1
641,HATDOG,1
642,Good,1
643,Good,1
644,good,1
645,Since the new update messenger doesn't send my message it always failed especially voice message pls fix it ..now in feb .2022 messenger doesn't work at all,1
646,"Used to have a message notify me on my notifications. But after I updated it, I no longer receive anyway notifications from any messages. Please fix it as soon as possible.",1
647,Recently i saw that the chat head is not working.. Please fix this problem,1
648,Good,1
649,Amazing,1
650,Arafat,1
651,Need Multiple Message delete option,1
652,Nice,1
653,It's perfect. Can't be improved,1
654,Best,1
655,It was very wet to be done msid,1
656,Very good aap,1
657,New,1
658,Very good,1
659,اسداللہ,1
660,is good😍😍,1
661,Always lagging while finding the past conversation,1
662,😎 cool,1
663,Good,1
664,Puck you,1
665,"Ultimamente no me deja mandar imagenes, a veces no carga los mensajes de mas arriba y la butbuja, aunque conveniente, causa que algunas cosas se traven.",1
666,nic,1
667,I'm not able to get my messenger back,1
668,This app is so nice to use:>,1
669,𝑽𝒆𝒓𝒚 𝒈𝒐𝒐𝒅 𝒂𝒑𝒑𝒔,1
670,Its so amizing,1
671,This app is good,1
672,Ilikeit,1
673,Great!,1
674,Good,1
675,👍👍👍👍👍,1
676,Roseni,1
677,Great 👌,1
678,So very nice 😍😍😍,1
679,Good,1
680,Good,1
681,Delayed notification. Tried clear data and cache and even unstalled and installed. After 10 minutes of receiving message the notification sound will played.,1
682,hamissu,1
683,my message don't sending even if I had Good signal,1
684,Angel,1
685,Nicee,1
686,حلو,1
687,Awesome,1
688,Easy to Use the app,1
689,Too much Glitches,1
690,Good,1
691,333po,1
692,Excellent,1
693,Awesome,1
694,Not open aap,1
695,Very Nice Coommunicates,1
696,It is good messenger for me i don't know if why?,1
697,খুব ভালো। অনেক সুন্দর একটি এপ।,1
698,"Good. You can use data to access communication without a wifi. My big problem is why are the photos still sending after 1 whole days? I already send 10 copy of the photo and none of them where sending. Fix this please, i can't show the pictures to my friends and even the video won't send. I won't be able to send performance task to my teacher. Please fix this it's getting anoying",1
699,I only clear my search out of Chrome everytime I am searching,1
700,good,1
701,I love this app for messaging,1
702,Loved it until my friends turned to chat bots 😔😅,1
703,ခနခနဖျက်ပီပြန်ဒောင်းနေရတယ်???,1
704,What the heck is happening to messenger it always showing loading another loading message unsent. Bruh meta can't even work better,1
705,It's very nice,1
706,Frustrated,1
707,Nice,1
708,Clear video call,1
709,Op,1
710,Excellent,1
711,Nice,1
712,Easy to use,1
713,Its so nice,1
714,As wesome,1
715,Good,1
716,Sabhi bhalo,1
717,It,1
718,Mind blowing,1
719,Facebook is a strong name in a android mobile phone HR of facebook is a good job,1
720,good,1
721,Very nice apps,1
722,"It's buggy, not optimized. Still buggy and it doesn't feel optimized yet.",1
723,Good,1
724,It won't load on the first try. I have to exit out then back in 4 times before it will show whose active,1
725,"The messenger coudt not install my device, please fix my problem।",1
726,Very very helpful this aap I am use this app 3 years,1
727,When I'm using the messenger call in small window it hang my phone . Not able to use any options as well as not able to cut the call . Check the issue.,1
728,So cute,1
729,ⓖⓞⓞⓓ,1
730,Let me update it naka five stars na oh aki nlng kqse,1
731,Now there is a glicth in watching a video i cannot exit because of that,1
732,455t Bc,1
733,Very buggy when it comes to switching accounts you'll get stuck at processing.,1
734,Ok,1
735,Good,1
736,This app is good,1
737,Nice app 💖😇,1
738,Maganda madali syang gamiten,1
